id_municipio,municipio_nome,ida,endereco,cep,municipio_sede,tel_1,tel_2,fax_1,fax_2,email,unidaderegional,diretor,url
3500105,Adamantina,Inspetoria de Defesa Agropecuária de Adamantina,"Rua Alameda Santa Cruz, 541",17800000,Adamantina,,,(18) 3521-5466,,,Escritório de Defesa Agropecuária de Dracena,Eng. Agr. Leonardo da Cruz Oliveira Junior,//www.defesa.agricultura.sp.gov.br/enderecos/adamantina/
3500204,Adolfo,Inspetoria de Defesa Agropecuária de José Bonifácio,"Rua Piratininga, 309",15200000,José Bonifácio,(17) 3245-4664,3245-1183,(17) 3245-4664,3245-1183,ida.josebonifacio@cda.sp.gov.br,Escritório de Defesa Agropecuária de São José do Rio Preto,Eng. Agr. Alexandre Paloschi,//www.defesa.agricultura.sp.gov.br/enderecos/adolfo/
3500303,Aguaí,Escritório de Defesa Agropecuária de São João da Boa Vista,"Rua Teófilo Ribeiro de Andrade, 1060",13870210,São João da Boa Vista,(19) 3623-3612,3623-3823,(19) 3623-3612,3623-3823,eda.sjbv@sp.gov.br,Escritório de Defesa Agropecuária de São João da Boa Vista,Eng. Agr. Rogério Marçal Rocha Oliveira,//www.defesa.agricultura.sp.gov.br/enderecos/aguai/
3500402,Águas da Prata,Escritório de Defesa Agropecuária de São João da Boa Vista,"Rua Teófilo Ribeiro de Andrade, 1060",13870210,São João da Boa Vista,(19) 3623-3612,3623-3823,(19) 3623-3612,3623-3823,eda.sjbv@sp.gov.br,Escritório de Defesa Agropecuária de São João da Boa Vista,Eng. Agr. Rogério Marçal Rocha Oliveira,//www.defesa.agricultura.sp.gov.br/enderecos/aguas-da-prata/
3500501,Águas de Lindóia,Inspetoria de Defesa Agropecuária de Socorro,"Avenida Dr. Rebouças, 116",13960000,Socorro,(19) 3855-2011,,,,ida.socorro@cda.sp.gov.br,Escritório de Defesa Agropecuária de Bragança Paulista,Eng. Agr. Rogério Marçal Rocha Oliveira,//www.defesa.agricultura.sp.gov.br/enderecos/aguas-de-lindoia/
3500550,Águas de Santa Bárbara,Inspetoria de Defesa Agropecuária de Águas de Santa Bárbara,"Rua Marechal Deodoro, 106",18770000,Águas de Santa Bárbara,(14) 3765-1183,,(14) 3765-1183,,eda.avare@cda.sp.gov.br,Escritório de Defesa Agropecuária de Avaré,Med. Vet. César Augusto Martins Moura,//www.defesa.agricultura.sp.gov.br/enderecos/aguas-de-santa-barbara/
3500600,Águas de São Pedro,Inspetoria de Defesa Agropecuária de São Pedro,"Rua Malaquias Guerra, 900",13520000,São Pedro,(19) 3481-1151,,,,,Escritório de Defesa Agropecuária de Piracicaba,Eng. Agr. Rui Marcos Lopes Correa,//www.defesa.agricultura.sp.gov.br/enderecos/aguas-de-sao-pedro/
3500709,Agudos,Unidade de Defesa Agropecuária de Agudos,"Avenida Odilon Pessoa Albuquerque, 788",17120000,Agudos,(14) 3262-1695,,,,,Escritório de Defesa Agropecuária de Bauru,Med. Vet. Leopoldo Guilherme Fernandes Rodrigues Arruda,//www.defesa.agricultura.sp.gov.br/enderecos/agudos/
3500758,Alambari,Inspetoria de Defesa Agropecuária de Tatuí,"Rua 13 de Maio, 1084",18270000,Tatuí,(15) 3251-4386,,,,,Escritório de Defesa Agropecuária de Itapetininga,Eng. Agr. Fabricio Sales Massafera Tristão,//www.defesa.agricultura.sp.gov.br/enderecos/alambari/
3500808,Alfredo Marcondes,Unidade de Defesa Agropecuária de Alfredo Marcondes,"Rua Pedro Mazzaro, s/n",19160000,Alfredo Marcondes,(18) 3266-1106,,,,,Escritório de Defesa Agropecuária de Presidente Prudente,Eng. Agr. Adalberto Lanziani,//www.defesa.agricultura.sp.gov.br/enderecos/alfredo-marcondes/
3500907,Altair,Inspetoria de Defesa Agropecuária de Olímpia,"Rua Dr. Antonio Olímpio, 923",15400000,Olímpia,(17) 3281-2434,,,,,Escritório de Defesa Agropecuária de Barretos,Eng. Agr. Adão Marin,//www.defesa.agricultura.sp.gov.br/enderecos/altair/
3501004,Altinópolis,Unidade de Defesa Agropecuária de Altinópolis,"Rua Cel. Honório Palma, 689",14350000,Altinópolis,(16) 3665-2985,,,,uda.altinopolis@cda.sp.gov.br,Escritório de Defesa Agropecuária de Franca,Med. Vet. Matheus Braga Martins,//www.defesa.agricultura.sp.gov.br/enderecos/altinopolis/
3501103,Alto Alegre,Unidade de Defesa Agropecuária de Alto Alegre,"Rua Osvaldo Cruz, 242",16310000,Alto Alegre,(18) 3657-1224,,,,,Escritório de Defesa Agropecuária de Araçatuba,Eng. Agr. Marco Antonio Basseto,//www.defesa.agricultura.sp.gov.br/enderecos/alto-alegre/
3501152,Alumínio,Inspetoria de Defesa Agropecuária de Itu,"Avenida Prudente de Moraes, 509",13309050,Itu,(11) 4024-3462,,(11) 4024-5358,,,Escritório de Defesa Agropecuária de Sorocaba,Eng. Agr. Fabricio Sales Massafera Tristão,//www.defesa.agricultura.sp.gov.br/enderecos/aluminio/
3501202,Álvares Florence,Escritório de Defesa Agropecuária de Votuporanga,"Rua Itacolomi, 3096",15500467,Votuporanga,(17) 3421-9147,,(17) 3421-6646,,eda.votuporanga@sp.gov.br,Escritório de Defesa Agropecuária de Votuporanga,Med. Vet. Gustavo Scursoni Campion,//www.defesa.agricultura.sp.gov.br/enderecos/alvares-florence/
3501301,Álvares Machado,Unidade de Defesa Agropecuária de Álvares Machado,"Rua Almirante Tamarandé, s/n",19160000,Álvares Machado,(18) 3273-3444,,,,,Escritório de Defesa Agropecuária de Presidente Prudente,Eng. Agr. Adalberto Lanziani,//www.defesa.agricultura.sp.gov.br/enderecos/alvares-machado/
3501400,Álvaro de Carvalho,Inspetoria de Defesa Agropecuária de Garça,"Rua Sargento Wilson A. Oliveira, 583",17400000,Garça,(14) 3471-1033,,(14) 3471-1033,,idagarca@itelefonica.com.br,Escritório de Defesa Agropecuária de Marília,Med. Vet. José de Barros Vieira,//www.defesa.agricultura.sp.gov.br/enderecos/alvaro-de-carvalho/
3501509,Alvinlândia,Unidade de Defesa Agropecuária de Alvinlândia,"Avenida Couto Junior, 224",17430000,Alvinlândia,(14) 3473-1134,,,,,Escritório de Defesa Agropecuária de Marília,Med. Vet. José de Barros Vieira,//www.defesa.agricultura.sp.gov.br/enderecos/alvinlandia/
3501608,Americana,Escritório de Defesa Agropecuária de Piracicaba,"Rua Campos Sales, 507",13400200,Piracicaba,(19) 3433-5309,,(19) 3422-6475,,eda.piracicaba@sp.gov.br,Escritório de Defesa Agropecuária de Piracicaba,Eng. Agr. Rui Marcos Lopes Correa,//www.defesa.agricultura.sp.gov.br/enderecos/americana/
3501707,Américo Brasiliense,Escritório de Defesa Agropecuária de Araraquara,"Rua 13 de Maio, 1352",14810088,Araraquara,(16) 3333-1073,3333-1074,(16) 3333-1073,,eda.araraquara@sp.gov.br,Escritório de Defesa Agropecuária de Araraquara,Med. Vet. Artur Luiz de Almeida Felicio,//www.defesa.agricultura.sp.gov.br/enderecos/americo-brasiliense/
3501806,Américo de Campos,Inspetoria de Defesa Agropecuária de Américo de Campos,"Rua São João, 440",15550000,Américo de Campos,(17) 3445-1309,,,,,Escritório de Defesa Agropecuária de Votuporanga,Med. Vet. Gustavo Scursoni Campion,//www.defesa.agricultura.sp.gov.br/enderecos/americo-de-campos/
3501905,Amparo,Unidade de Defesa Agropecuária de Amparo,"Rua Salermo, s/n",13970,Amparo,(19) 3807-3775,,,,ida.amparo@cda.sp.gov.br,Escritório de Defesa Agropecuária de Bragança Paulista,Eng. Agr. Rogério Marçal Rocha Oliveira,//www.defesa.agricultura.sp.gov.br/enderecos/amparo/
3502002,Analândia,Unidade de Defesa Agropecuária de de Itirapina,"Rua 2, 179",13530000,Itirapina,(19) 3575-1305,,,,,Escritório de Defesa Agropecuária de Limeira,Eng. Agr. Antonio Carlos Junqueira do Val Filho,//www.defesa.agricultura.sp.gov.br/enderecos/analandia/
3502101,Andradina,Escritório de Defesa Agropecuária de Andradina,"Avenida Barão do Rio Branco, 1954",16901270,Andradina,(18) 3722-3942,,(18) 3722-3942,,eda.andradina@sp.gov.br,Escritório de Defesa Agropecuária de Andradina,Med. Vet. Affonso dos Santos Marcos,//www.defesa.agricultura.sp.gov.br/enderecos/andradina/
3502200,Angatuba,Unidade de Defesa Agropecuária de Angatuba,"Rua Irmãos Abdelnur, 740",18240000,Angatuba,(15) 3255-1033,,,,,Escritório de Defesa Agropecuária de Itapetininga,Eng. Agr. Fabricio Sales Massafera Tristão,//www.defesa.agricultura.sp.gov.br/enderecos/angatuba/
3502309,Anhembi,Unidade de Defesa Agropecuária de Anhembi,"Avenida Faria Lima, 281",18620000,Anhembi,(14) 3884-1455,,,,uda.anhembi@cda.sp.gov.br,Escritório de Defesa Agropecuária de Botucatu,Med. Vet. Francisco Pereira Neto,//www.defesa.agricultura.sp.gov.br/enderecos/anhembi/
3502408,Anhumas,Unidade de Defesa Agropecuária de Anhumas,Rua Vicente José s/n,19580000,Anhumas,(18) 3286-1360,,,,,Escritório de Defesa Agropecuária de Presidente Prudente,Eng. Agr. Adalberto Lanziani,//www.defesa.agricultura.sp.gov.br/enderecos/anhumas/
3502507,Aparecida,Escritório de Defesa Agropecuária de Guaratinguetá,"Avenida Ariberto Pereira da Cunha, 310",12516410,Guaratinguetá,(12) 3125-3010,,(12) 3125-1680,,eda.guara@sp.gov.br,Escritório de Defesa Agropecuária de Guaratinguetá,Med. Vet. Ana Paula Cunha Belchior,//www.defesa.agricultura.sp.gov.br/enderecos/aparecida/
3502606,Aparecida d'Oeste,Inspetoria de Defesa Agropecuária de Santa Fé do Sul,"Avenida Navarro de Andrade, 59",15775000,Santa Fé do Sul,(17) 3631-5509,,(17) 3631-5509,,ida.santafedosul@cda.sp.gov.br,Escritório de Defesa Agropecuária de Jales,Eng. Agr. Jamil Atihe Junior,//www.defesa.agricultura.sp.gov.br/enderecos/aparecida-doeste/
